run_name,false_positive_rate,false_negative_rate,num_rollouts,final_validation_accuracy,final_train_accuracy,best_validation_accuracy,best_train_accuracy
grpo1.5B-gsm8k-b32-r32-fp01-fn02,0.1,0.2,32,0.7421875,0.638671875,0.7421875,0.7890625
grpo1.5B-gsm8k-b32-r8-fp01-fn03,0.1,0.3,8,0.6796875,0.4609375,0.68359375,0.73046875
grpo1.5B-gsm8k-b32-r16-fp01-fn03,0.1,0.3,16,0.671875,0.609375,0.73046875,0.689453125
grpo1.5B-gsm8k-b32-r32-fp01-fn03,0.1,0.3,32,0.6953125,0.552734375,0.73046875,0.7138671875
grpo1.5B-gsm8k-b32-r8-fp01-fn04,0.1,0.4,8,0.671875,0.37890625,0.6953125,0.65234375
grpo1.5B-gsm8k-b32-r16-fp01-fn04,0.1,0.4,16,0.6328125,0.501953125,0.72265625,0.623046875
grpo1.5B-gsm8k-b32-r32-fp01-fn04,0.1,0.4,32,0.703125,0.4951171875,0.72265625,0.64453125
grpo1.5B-gsm8k-b32-r8-fp01-fn05,0.1,0.5,8,0.6484375,0.35546875,0.6875,0.54296875
grpo1.5B-gsm8k-b32-r16-fp01-fn05,0.1,0.5,16,0.6328125,0.40234375,0.70703125,0.505859375
grpo1.5B-gsm8k-b32-r32-fp01-fn05,0.1,0.5,32,0.703125,0.4296875,0.71875,0.51953125
grpo1.5B-gsm8k-b32-r8-fp02-fn00,0.2,0,8,0.703125,0.89453125,0.7265625,0.92578125
grpo1.5B-gsm8k-b32-r16-fp02-fn00,0.2,0,16,0.71875,0.90625,0.7734375,0.939453125
grpo1.5B-gsm8k-b32-r32-fp02-fn00,0.2,0,32,0.70703125,0.8974609375,0.76953125,0.9541015625
grpo1.5B-gsm8k-b32-r8-fp02-fn01,0.2,0.1,8,0.671875,0.7421875,0.703125,0.8828125
grpo1.5B-gsm8k-b32-r16-fp02-fn01,0.2,0.1,16,0.73046875,0.779296875,0.73828125,0.873046875
grpo1.5B-gsm8k-b32-r32-fp02-fn01,0.2,0.1,32,0.69921875,0.7587890625,0.76171875,0.865234375
grpo-gsm8k-b32-r4-p0.2,0.2,0.2,4,0.66015625,0.671875,0.67578125,0.8125
grpo0.5B-gsm8k-b32-r4-p0.2,0.2,0.2,4,0.3515625,0.3828125,0.43359375,0.640625
grpo-gsm8k-b32-r8-p0.2,0.2,0.2,8,0.65234375,0.5546875,0.69921875,0.8203125
grpo0.5B-gsm8k-b32-r8-p0.2,0.2,0.2,8,0.3203125,0.45703125,0.3984375,0.6640625
grpo-gsm8k-b32-r16-p0.2,0.2,0.2,16,0.72265625,0.666015625,0.72265625,0.841796875
grpo0.5B-gsm8k-b32-r16-p0.2,0.2,0.2,16,0.44140625,0.533203125,0.44140625,0.640625
grpo-gsm8k-b32-r32-p0.2,0.2,0.2,32,0.703125,0.6845703125,0.734375,0.7939453125
grpo0.5B-gsm8k-b32-r32-p0.2,0.2,0.2,32,0.43359375,0.51953125,0.5078125,0.630859375
grpo-gsm8k-b32-r64-p0.2,0.2,0.2,64,0.703125,0.7158203125,0.74609375,0.7880859375
grpo0.5B-gsm8k-b32-r64-p0.2,0.2,0.2,64,0.484375,0.5703125,0.515625,0.63818359375
grpo1.5B-gsm8k-b32-r8-fp02-fn03,0.2,0.3,8,0.62109375,0.50390625,0.69140625,0.71484375
grpo1.5B-gsm8k-b32-r16-fp02-fn03,0.2,0.3,16,0.68359375,0.619140625,0.73046875,0.7109375
grpo1.5B-gsm8k-b32-r32-fp02-fn03,0.2,0.3,32,0.68359375,0.6083984375,0.72265625,0.736328125
grpo1.5B-gsm8k-b32-r8-fp02-fn04,0.2,0.4,8,0.5546875,0.41796875,0.65234375,0.65234375
grpo1.5B-gsm8k-b32-r16-fp02-fn04,0.2,0.4,16,0.62890625,0.505859375,0.6875,0.638671875
grpo1.5B-gsm8k-b32-r32-fp02-fn04,0.2,0.4,32,0.69921875,0.51171875,0.69921875,0.65234375
grpo1.5B-gsm8k-b32-r8-fp02-fn05,0.2,0.5,8,0.62109375,0.39453125,0.65234375,0.5234375
grpo1.5B-gsm8k-b32-r16-fp02-fn05,0.2,0.5,16,0.59765625,0.39453125,0.66015625,0.498046875
grpo1.5B-gsm8k-b32-r32-fp02-fn05,0.2,0.5,32,0.6171875,0.412109375,0.68359375,0.521484375
grpo1.5B-gsm8k-b32-r8-fp03-fn00,0.3,0,8,0.69921875,0.94140625,0.72265625,0.94140625
grpo1.5B-gsm8k-b32-r16-fp03-fn00,0.3,0,16,0.73046875,0.91796875,0.7890625,0.947265625
grpo1.5B-gsm8k-b32-r32-fp03-fn00,0.3,0,32,0.71484375,0.8994140625,0.78515625,0.9638671875
grpo1.5B-gsm8k-b32-r8-fp03-fn01,0.3,0.1,8,0.69921875,0.76953125,0.69921875,0.88671875
grpo1.5B-gsm8k-b32-r16-fp03-fn01,0.3,0.1,16,0.65625,0.783203125,0.73046875,0.87890625
grpo1.5B-gsm8k-b32-r32-fp03-fn01,0.3,0.1,32,0.734375,0.7978515625,0.734375,0.8740234375
grpo1.5B-gsm8k-b32-r8-fp03-fn02,0.3,0.2,8,0.625,0.60546875,0.6875,0.859375
grpo1.5B-gsm8k-b32-r16-fp03-fn02,0.3,0.2,16,0.66015625,0.666015625,0.7109375,0.86328125
grpo1.5B-gsm8k-b32-r32-fp03-fn02,0.3,0.2,32,0.671875,0.6650390625,0.69140625,0.7734375
grpo-gsm8k-b32-r4-p0.3,0.3,0.3,4,0.63671875,0.671875,0.6484375,0.75
grpo0.5B-gsm8k-b32-r4-p0.3,0.3,0.3,4,0.31640625,0.421875,0.359375,0.640625
grpo-gsm8k-b32-r8-p0.3,0.3,0.3,8,0.57421875,0.5625,0.66796875,0.70703125
grpo0.5B-gsm8k-b32-r8-p0.3,0.3,0.3,8,0.203125,0.44921875,0.34765625,0.54296875
grpo-gsm8k-b32-r16-p0.3,0.3,0.3,16,0.6171875,0.638671875,0.67578125,0.689453125
grpo0.5B-gsm8k-b32-r16-p0.3,0.3,0.3,16,0.37890625,0.458984375,0.4140625,0.55859375
grpo-gsm8k-b32-r32-p0.3,0.3,0.3,32,0.7265625,0.5966796875,0.7265625,0.708984375
grpo0.5B-gsm8k-b32-r32-p0.3,0.3,0.3,32,0.3828125,0.498046875,0.4453125,0.5810546875
grpo-gsm8k-b32-r64-p0.3,0.3,0.3,64,0.6953125,0.63818359375,0.703125,0.701171875
grpo0.5B-gsm8k-b32-r64-p0.3,0.3,0.3,64,0.49609375,0.62939453125,0.51953125,0.689453125
grpo1.5B-gsm8k-b32-r8-fp03-fn04,0.3,0.4,8,0.54296875,0.41796875,0.65234375,0.6640625
grpo1.5B-gsm8k-b32-r16-fp03-fn04,0.3,0.4,16,0.57421875,0.521484375,0.67578125,0.630859375
grpo1.5B-gsm8k-b32-r32-fp03-fn04,0.3,0.4,32,0.578125,0.490234375,0.69140625,0.6083984375
grpo1.5B-gsm8k-b32-r8-fp03-fn05,0.3,0.5,8,0.48828125,0.4375,0.625,0.57421875
grpo1.5B-gsm8k-b32-r16-fp03-fn05,0.3,0.5,16,0.62890625,0.43359375,0.64453125,0.51953125
grpo1.5B-gsm8k-b32-r32-fp03-fn05,0.3,0.5,32,0.578125,0.4609375,0.625,0.5166015625
grpo1.5B-gsm8k-b32-r8-fp04-fn00,0.4,0,8,0.640625,0.9140625,0.703125,0.94140625
grpo1.5B-gsm8k-b32-r16-fp04-fn00,0.4,0,16,0.6875,0.884765625,0.7578125,0.947265625
grpo1.5B-gsm8k-b32-r32-fp04-fn00,0.4,0,32,0.71484375,0.90625,0.76171875,0.9501953125
grpo1.5B-gsm8k-b32-r8-fp04-fn01,0.4,0.1,8,0.59765625,0.76171875,0.69140625,0.9453125
grpo1.5B-gsm8k-b32-r16-fp04-fn01,0.4,0.1,16,0.69140625,0.8046875,0.7421875,0.8984375
grpo1.5B-gsm8k-b32-r32-fp04-fn01,0.4,0.1,32,0.7265625,0.783203125,0.73828125,0.888671875
grpo1.5B-gsm8k-b32-r8-fp04-fn02,0.4,0.2,8,0.640625,0.625,0.69140625,0.890625
grpo1.5B-gsm8k-b32-r16-fp04-fn02,0.4,0.2,16,0.64453125,0.6796875,0.68359375,0.884765625
grpo1.5B-gsm8k-b32-r32-fp04-fn02,0.4,0.2,32,0.69921875,0.7021484375,0.69921875,0.771484375
grpo1.5B-gsm8k-b32-r8-fp04-fn03,0.4,0.3,8,0.5546875,0.546875,0.65625,0.7421875
grpo1.5B-gsm8k-b32-r16-fp04-fn03,0.4,0.3,16,0.625,0.669921875,0.65625,0.74609375
grpo1.5B-gsm8k-b32-r32-fp04-fn03,0.4,0.3,32,0.640625,0.6328125,0.6953125,0.7197265625
grpo-gsm8k-b32-r4-p0.4,0.4,0.4,4,0.38671875,0.4921875,0.609375,0.6328125
grpo0.5B-gsm8k-b32-r4-p0.4,0.4,0.4,4,0.28515625,0.3515625,0.37109375,0.5546875
grpo-gsm8k-b32-r8-p0.4,0.4,0.4,8,0.3828125,0.4765625,0.61328125,0.66015625
grpo0.5B-gsm8k-b32-r8-p0.4,0.4,0.4,8,0.02734375,0.578125,0.3515625,0.578125
grpo-gsm8k-b32-r16-p0.4,0.4,0.4,16,0.48828125,0.515625,0.60546875,0.63671875
grpo0.5B-gsm8k-b32-r16-p0.4,0.4,0.4,16,0.1796875,0.412109375,0.26171875,0.552734375
grpo-gsm8k-b32-r32-p0.4,0.4,0.4,32,0.5234375,0.509765625,0.67578125,0.6064453125
grpo0.5B-gsm8k-b32-r32-p0.4,0.4,0.4,32,0.3671875,0.474609375,0.3671875,0.5263671875
grpo-gsm8k-b32-r64-p0.4,0.4,0.4,64,0.609375,0.5732421875,0.66796875,0.59375
